Date,Value,Series_ID,Description,Frequency,Units
2020-04-01,256.032,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-05-01,255.802,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-06-01,257.042,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-07-01,258.352,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-08-01,259.316,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-09-01,259.997,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-10-01,260.319,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-11-01,260.911,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2020-12-01,262.045,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-01-01,262.639,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-02-01,263.573,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-03-01,264.847,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-04-01,266.625,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-05-01,268.404,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-06-01,270.71,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-07-01,271.965,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-08-01,272.752,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-09-01,273.942,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-10-01,276.528,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-11-01,278.824,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2021-12-01,280.806,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-01-01,282.542,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-02-01,284.525,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-03-01,287.467,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-04-01,288.582,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-05-01,291.299,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-06-01,295.072,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-07-01,294.94,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-08-01,295.162,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-09-01,296.421,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-10-01,297.979,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-11-01,298.708,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2022-12-01,298.808,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-01-01,300.456,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-02-01,301.476,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-03-01,301.643,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-04-01,302.858,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-05-01,303.316,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-06-01,304.099,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-07-01,304.615,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-08-01,306.138,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-09-01,307.374,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-10-01,307.653,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-11-01,308.087,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2023-12-01,308.735,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-01-01,309.794,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-02-01,311.022,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-03-01,312.107,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-04-01,313.016,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-05-01,313.14,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-06-01,313.131,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-07-01,313.566,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-08-01,314.131,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-09-01,314.851,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-10-01,315.564,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-11-01,316.449,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2024-12-01,317.603,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2025-01-01,319.086,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2025-02-01,319.775,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
2025-03-01,319.615,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100
