Date,Value,Series_ID,Description,Frequency,Units
2020-04-01,265.746,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-05-01,265.412,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-06-01,265.849,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-07-01,267.389,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-08-01,268.422,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-09-01,268.933,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-10-01,269.306,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-11-01,269.981,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2020-12-01,270.341,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-01-01,270.416,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-02-01,270.776,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-03-01,271.453,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-04-01,273.626,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-05-01,275.457,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-06-01,277.608,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-07-01,278.639,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-08-01,279.021,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-09-01,279.727,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-10-01,281.649,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-11-01,283.411,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2021-12-01,285.221,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-01-01,286.799,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-02-01,288.256,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-03-01,289.044,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-04-01,290.474,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-05-01,292.039,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-06-01,294.009,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-07-01,295.08,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-08-01,296.582,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-09-01,298.281,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-10-01,299.381,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-11-01,300.316,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2022-12-01,301.433,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-01-01,302.685,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-02-01,304.097,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-03-01,305.123,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-04-01,306.49,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-05-01,307.623,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-06-01,308.291,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-07-01,308.959,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-08-01,309.646,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-09-01,310.616,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-10-01,311.433,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-11-01,312.373,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2023-12-01,313.23,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-01-01,314.389,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-02-01,315.555,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-03-01,316.762,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-04-01,317.596,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-05-01,318.053,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-06-01,318.343,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-07-01,318.933,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-08-01,319.839,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-09-01,320.835,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-10-01,321.688,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-11-01,322.619,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2024-12-01,323.296,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2025-01-01,324.739,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2025-02-01,325.475,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
2025-03-01,325.659,CPILFESL,Core_CPI,Monthly,Index 1982-1984=100
