Date,Value,Series_ID,Description,Frequency,Units
2020-04-01,-28.1,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2020-07-01,35.2,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2020-10-01,4.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2021-01-01,5.6,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2021-04-01,6.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2021-07-01,3.5,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2021-10-01,7.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2022-01-01,-1.0,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2022-04-01,0.3,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2022-07-01,2.7,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2022-10-01,3.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2023-01-01,2.8,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2023-04-01,2.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2023-07-01,4.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2023-10-01,3.2,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2024-01-01,1.6,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2024-04-01,3.0,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2024-07-01,3.1,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
2024-10-01,2.4,A191RL1Q225SBEA,GDP_Growth,Quarterly,Percent Change from Preceding Period
