Date,Value,Series_ID,Description,Frequency,Units,Inflation_Rate
2021-04-01,266.625,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,4.137373453318349
2021-05-01,268.404,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,4.9264665639830785
2021-06-01,270.71,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,5.317418943207719
2021-07-01,271.965,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,5.269167647240969
2021-08-01,272.752,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,5.181323173271246
2021-09-01,273.942,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,5.363523425270289
2021-10-01,276.528,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,6.226591220771449
2021-11-01,278.824,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,6.865559520296194
2021-12-01,280.806,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,7.159457345112474
2022-01-01,282.542,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,7.578082463000535
2022-02-01,284.525,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,7.949220898953979
2022-03-01,287.467,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.540780148538584
2022-04-01,288.582,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.235161744022502
2022-05-01,291.299,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.530051713089225
2022-06-01,295.072,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.999298141923106
2022-07-01,294.94,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.447778206754553
2022-08-01,295.162,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.216255059541266
2022-09-01,296.421,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,8.205751582451759
2022-10-01,297.979,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,7.757261470809462
2022-11-01,298.708,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,7.131380368978291
2022-12-01,298.808,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,6.410831677385809
2023-01-01,300.456,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,6.340296309929161
2023-02-01,301.476,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,5.957648712766894
2023-03-01,301.643,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,4.931348641757127
2023-04-01,302.858,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,4.946947488062325
2023-05-01,303.316,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,4.125314539356473
2023-06-01,304.099,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.0592533347792994
2023-07-01,304.615,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.28032820234625
2023-08-01,306.138,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.7186358677607556
2023-09-01,307.374,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.6950823322234427
2023-10-01,307.653,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.2465375076767167
2023-11-01,308.087,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.139855644977696
2023-12-01,308.735,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.322200208829762
2024-01-01,309.794,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.1079425939238847
2024-02-01,311.022,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.16642120765831
2024-03-01,312.107,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.4690014354717524
2024-04-01,313.016,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.3540471111874304
2024-05-01,313.14,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,3.238866396761142
2024-06-01,313.131,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.9700853998204435
2024-07-01,313.566,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.9384633061405374
2024-08-01,314.131,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.6109140322338353
2024-09-01,314.851,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.432541464144644
2024-10-01,315.564,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.5714034967967203
2024-11-01,316.449,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.7141684004842848
2024-12-01,317.603,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.872366268806581
2025-01-01,319.086,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.999412512831112
2025-02-01,319.775,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.8142703731568686
2025-03-01,319.615,CPIAUCSL,CPI_Inflation,Monthly,Index 1982-1984=100,2.4055852640280317
