Date,Value,Series_ID,Description,Frequency,Units
2020-04-01,376918.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-05-01,443726.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-06-01,473811.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-07-01,480116.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-08-01,482243.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-09-01,491386.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-10-01,489705.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-11-01,487287.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2020-12-01,495533.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-01-01,511693.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-02-01,498200.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-03-01,550963.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-04-01,554420.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-05-01,545289.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-06-01,548693.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-07-01,537817.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-08-01,542140.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-09-01,545726.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-10-01,555517.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-11-01,562175.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2021-12-01,558148.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-01-01,571325.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-02-01,574609.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-03-01,585912.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-04-01,592141.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-05-01,589282.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-06-01,593360.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-07-01,589039.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-08-01,590987.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-09-01,588894.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-10-01,595839.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-11-01,588309.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2022-12-01,581749.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-01-01,603496.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-02-01,598274.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-03-01,590606.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-04-01,594962.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-05-01,596688.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-06-01,598006.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-07-01,599270.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-08-01,604187.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-09-01,609130.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-10-01,606170.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-11-01,602896.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2023-12-01,605203.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-01-01,600936.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-02-01,605643.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-03-01,608662.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-04-01,608458.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-05-01,610010.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-06-01,607986.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-07-01,615960.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-08-01,614535.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-09-01,620104.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-10-01,623269.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-11-01,627443.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2024-12-01,633359.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2025-01-01,625480.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2025-02-01,627898.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
2025-03-01,636522.0,RSXFS,Retail_Sales,Monthly,Millions of Dollars
